论文stem,模型,原始字符数,去空白字符数,实体数量,关系数量,实体千字密度(按去空白),关系千字密度(按去空白),关系/实体比
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,gemini,15316,10923,20,14,1.8310,1.2817,0.7000
航空装备故障风险分析与趋势预测方法_MinerU__20250913053133,kimi,15316,10923,9,9,0.8239,0.8239,1.0000
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,deepseek,8157,6623,40,17,6.0396,2.5668,0.4250
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,gemini,8157,6623,13,8,1.9629,1.2079,0.6154
飞机供电系统的改进型PHM方案_李宁_MinerU__20250913053650,kimi,8157,6623,7,6,1.0569,0.9059,0.8571
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,deepseek,15607,12540,60,36,4.7847,2.8708,0.6000
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,gemini,15607,12540,61,49,4.8644,3.9075,0.8033
飞机健康监测与预测系统的发展及展望_MinerU__20250913053926,kimi,15607,12540,35,32,2.7911,2.5518,0.9143
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,deepseek,15298,9533,26,14,2.7274,1.4686,0.5385
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,gemini,15298,9533,16,15,1.6784,1.5735,0.9375
飞机健康管理平台的客户需求分析与PLM服务资源匹配_和伟辉_MinerU__20250913053923,kimi,15298,9533,7,6,0.7343,0.6294,0.8571
飞机发动机故障的多参数预测模型_MinerU__20250913053628,deepseek,12881,9769,11,13,1.1260,1.3307,1.1818
飞机发动机故障的多参数预测模型_MinerU__20250913053628,gemini,12881,9769,22,10,2.2520,1.0236,0.4545
飞机发动机故障的多参数预测模型_MinerU__20250913053628,kimi,12881,9769,14,12,1.4331,1.2284,0.8571
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,deepseek,11656,4390,20,10,4.5558,2.2779,0.5000
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,gemini,11656,4390,16,10,3.6446,2.2779,0.6250
飞机开关磁阻发电系统故障推理模型研究_MinerU__20250913053934,kimi,11656,4390,41,18,9.3394,4.1002,0.4390
飞机性能参数预测的不确定性处理_MinerU__20250913053204,deepseek,21423,16655,13,12,0.7805,0.7205,0.9231
飞机性能参数预测的不确定性处理_MinerU__20250913053204,gemini,21423,16655,22,11,1.3209,0.6605,0.5000
飞机性能参数预测的不确定性处理_MinerU__20250913053204,kimi,21423,16655,16,15,0.9607,0.9006,0.9375
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,deepseek,6814,6094,6,4,0.9846,0.6564,0.6667
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,gemini,6814,6094,20,12,3.2819,1.9691,0.6000
飞机操纵面故障的多参数预测模型_MinerU__20250913053608,kimi,6814,6094,9,8,1.4769,1.3128,0.8889
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,deepseek,36848,30467,56,33,1.8381,1.0831,0.5893
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,gemini,36848,30467,29,20,0.9518,0.6564,0.6897
飞机机电系统部件数据驱动健康状态在线估计方法综述_MinerU__20250913053919,kimi,36848,30467,30,16,0.9847,0.5252,0.5333
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,deepseek,13585,10205,13,10,1.2739,0.9799,0.7692
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,gemini,13585,10205,12,9,1.1759,0.8819,0.7500
飞机燃油供油系统性能退化与故障预测_高泽海_MinerU__20250913053946,kimi,13585,10205,11,9,1.0779,0.8819,0.8182
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,deepseek,13044,11328,35,24,3.0897,2.1186,0.6857
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,gemini,13044,11328,31,19,2.7366,1.6773,0.6129
飞机电源多Agent预测与健康管理系统研究_张莉_MinerU__20250913053617,kimi,13044,11328,29,26,2.5600,2.2952,0.8966
